127.0.0.1 - - [20/Nov/2023:10:24:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:34:05 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:34:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:43:54 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:43:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:48:25 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:48:35 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:48:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:28 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:51 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:55:09 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:55:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:55:13 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:55:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
